código,nome,nome completo,ispb
350.0,CREHNOR LARANJEIRAS,COOPERATIVA DE CRÉDITO RURAL DE PEQUENOS AGRICULTORES E DA REFORMA AGRÁRIA DO CE,01330387
352.0,TORO CTVM S.A.,TORO CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,29162769
355.0,ÓTIMO SCD S.A.,ÓTIMO SOCIEDADE DE CRÉDITO DIRETO S.A.,34335592
358.0,MIDWAY S.A. - SCFI,"MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",09464032
359.0,ZEMA CFI S/A,"ZEMA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A",05351887
360.0,TRINUS CAPITAL DTVM,TRINUS CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,02276653
362.0,CIELO IP S.A.,CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO,01027058
363.0,SINGULARE CTVM S.A.,SINGULARE CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,62285390
364.0,EFÍ S.A. - IP,EFÍ S.A. - INSTITUIÇÃO DE PAGAMENTO,09089356
365.0,SIMPAUL,SIMPAUL CORRETORA DE CAMBIO E VALORES MOBILIARIOS  S.A.,68757681
366.0,BCO SOCIETE GENERALE BRASIL,BANCO SOCIETE GENERALE BRASIL S.A.,61533584
367.0,VITREO DTVM S.A.,VITREO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,34711571
368.0,BCO CSF S.A.,Banco CSF S.A.,08357240
370.0,BCO MIZUHO S.A.,Banco Mizuho do Brasil S.A.,61088183
371.0,WARREN CVMC LTDA,WARREN CORRETORA DE VALORES MOBILIÁRIOS E CÂMBIO LTDA.,92875780
373.0,UP.P SEP S.A.,UP.P SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A.,35977097
374.0,REALIZE CFI S.A.,"REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",27351731
376.0,BCO J.P. MORGAN S.A.,BANCO J.P. MORGAN S.A.,33172537
377.0,BMS SCD S.A.,BMS SOCIEDADE DE CRÉDITO DIRETO S.A.,17826860
378.0,BCO BRASILEIRO DE CRÉDITO S.A.,BANCO BRASILEIRO DE CRÉDITO SOCIEDADE ANÔNIMA,01852137
379.0,CECM COOPERFORTE,COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DE FUNCIONÁRIOS DE INSTITU,01658426
380.0,PICPAY,PICPAY INSTITUIçãO DE PAGAMENTO S.A.,22896431
381.0,BCO MERCEDES-BENZ S.A.,BANCO MERCEDES-BENZ DO BRASIL S.A.,60814191
382.0,FIDUCIA SCMEPP LTDA,FIDÚCIA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE L,04307598
383.0,EBANX IP LTDA.,EBANX INSTITUICAO DE PAGAMENTOS LTDA.,21018182
384.0,GLOBAL SCM LTDA,GLOBAL FINANÇAS SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO,11165756
385.0,CECM DOS TRAB.PORT. DA G.VITOR,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS TRABALHADORES PORTUARIOS DA GRANDE V,03844699
386.0,NU FINANCEIRA S.A. CFI,"NU FINANCEIRA S.A. - Sociedade de Crédito, Financiamento e Investimento",30680829
387.0,BCO TOYOTA DO BRASIL S.A.,Banco Toyota do Brasil S.A.,03215790
389.0,BCO MERCANTIL DO BRASIL S.A.,Banco Mercantil do Brasil S.A.,17184037
390.0,BCO GM S.A.,BANCO GM S.A.,59274605
391.0,CCR DE IBIAM,COOPERATIVA DE CREDITO RURAL DE IBIAM - SULCREDI/IBIAM,08240446
393.0,BCO VOLKSWAGEN S.A,Banco Volkswagen S.A.,59109165
394.0,BCO BRADESCO FINANC. S.A.,Banco Bradesco Financiamentos S.A.,07207996
395.0,F D GOLD DTVM LTDA,F.D'GOLD - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,08673569
396.0,HUB IP S.A.,HUB INSTITUIÇÃO DE PAGAMENTO S.A.,13884775
397.0,LISTO SCD S.A.,LISTO SOCIEDADE DE CREDITO DIRETO S.A.,34088029
398.0,IDEAL CTVM S.A.,IDEAL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,31749596
399.0,KIRTON BANK,Kirton Bank S.A. - Banco Múltiplo,01701201
400.0,COOP CREDITAG,"COOPERATIVA DE CRÉDITO, POUPANÇA E SERVIÇOS FINANCEIROS DO CENTRO OESTE - CREDIT",05491616
401.0,IUGU IP S.A.,IUGU INSTITUIÇÃO DE PAGAMENTO S.A.,15111975
402.0,COBUCCIO S.A. SCFI,"COBUCCIO S/A - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTOS",36947229
403.0,CORA SCD S.A.,CORA SOCIEDADE DE CRÉDITO DIRETO S.A.,37880206
404.0,SUMUP SCD S.A.,SUMUP SOCIEDADE DE CRÉDITO DIRETO S.A.,37241230
406.0,ACCREDITO SCD S.A.,ACCREDITO - SOCIEDADE DE CRÉDITO DIRETO S.A.,37715993
407.0,ÍNDIGO INVESTIMENTOS DTVM LTDA.,ÍNDIGO INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,00329598
408.0,BONUSPAGO SCD S.A.,BONUSPAGO SOCIEDADE DE CRÉDITO DIRETO S.A.,36586946
410.0,PLANNER SOCIEDADE DE CRÉDITO DIRETO,PLANNER SOCIEDADE DE CRÉDITO DIRETO S.A.,05684234
411.0,VIA CERTA FINANCIADORA S.A. - CFI,"Via Certa Financiadora S.A. - Crédito, Financiamento e Investimentos",05192316
412.0,SOCIAL BANK S/A,SOCIAL BANK BANCO MÚLTIPLO S/A,15173776
413.0,BCO BV S.A.,BANCO BV S.A.,01858774
414.0,LEND SCD S.A.,LEND SOCIEDADE DE CRÉDITO DIRETO S.A.,37526080
416.0,LAMARA SCD S.A.,LAMARA SOCIEDADE DE CRÉDITO DIRETO S.A.,19324634
418.0,ZIPDIN SCD S.A.,ZIPDIN SOLUÇÕES DIGITAIS SOCIEDADE DE CRÉDITO DIRETO S/A,37414009
419.0,NUMBRS SCD S.A.,NUMBRS SOCIEDADE DE CRÉDITO DIRETO S.A.,38129006
421.0,CC LAR CREDI,LAR COOPERATIVA DE CRÉDITO - LAR CREDI,39343350
422.0,BCO SAFRA S.A.,Banco Safra S.A.,58160789
423.0,COLUNA S.A. DTVM,COLUNA S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS,00460065
425.0,SOCINAL S.A. CFI,"SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",03881423
426.0,NEON FINANCEIRA - CFI S.A.,"NEON FINANCEIRA - CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",11285104
427.0,CRED-UFES,COOPERATIVA DE CREDITO DOS SERVIDORES DA UNIVERSIDADE FEDERAL DO ESPIRITO SANTO,27302181
428.0,CREDSYSTEM SCD S.A.,CREDSYSTEM SOCIEDADE DE CRÉDITO DIRETO S.A.,39664698
429.0,CREDIARE CFI S.A.,"Crediare S.A. - Crédito, financiamento e investimento",05676026
430.0,CCR SEARA,COOPERATIVA DE CREDITO RURAL SEARA - CREDISEARA,00204963
433.0,BR-CAPITAL DTVM S.A.,BR-CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,44077014
435.0,DELCRED SCD S.A.,DELCRED SOCIEDADE DE CRÉDITO DIRETO S.A.,38224857
438.0,TRUSTEE DTVM LTDA.,TRUSTEE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,67030395
439.0,ID CTVM,ID CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,16695922
440.0,CREDIBRF COOP,CREDIBRF - COOPERATIVA DE CRÉDITO,82096447
442.0,MAGNETIS - DTVM,MAGNETIS - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,87963450
443.0,CREDIHOME SCD,CREDIHOME SOCIEDADE DE CRÉDITO DIRETO S.A.,39416705
444.0,TRINUS SCD S.A.,TRINUS SOCIEDADE DE CRÉDITO DIRETO S.A.,40654622
445.0,PLANTAE CFI,"PLANTAE S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",35551187
447.0,MIRAE ASSET CCTVM LTDA,"MIRAE ASSET WEALTH MANAGEMENT (BRAZIL) CORRETORA DE CÂMBIO, TÍTULOS E VALORES MO",12392983
448.0,HEMERA DTVM LTDA.,HEMERA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,39669186
449.0,DM,DM SOCIEDADE DE CRÉDITO DIRETO S.A.,37555231
450.0,FITBANK IP,FITBANK INSTITUIÇÃO DE PAGAMENTOS ELETRÔNICOS S.A.,13203354
451.0,J17 - SCD S/A,J17 - SOCIEDADE DE CRÉDITO DIRETO S/A,40475846
452.0,CREDIFIT SCD S.A.,CREDIFIT SOCIEDADE DE CRÉDITO DIRETO S.A.,39676772
454.0,MÉRITO DTVM LTDA.,MÉRITO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,41592532
455.0,FÊNIX DTVM LTDA.,FÊNIX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,38429045
456.0,BCO MUFG BRASIL S.A.,Banco MUFG Brasil S.A.,60498557
457.0,UY3 SCD S/A,UY3 SOCIEDADE DE CRÉDITO DIRETO S/A,39587424
458.0,HEDGE INVESTMENTS DTVM LTDA.,HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,07253654
459.0,CCM SERV. PÚBLICOS SP,COOPERATIVA DE CRÉDITO MÚTUO DE SERVIDORES PÚBLICOS DO ESTADO DE SÃO PAULO - CRE,04546162
460.0,UNAVANTI SCD S/A,UNAVANTI SOCIEDADE DE CRÉDITO DIRETO S/A,42047025
461.0,ASAAS IP S.A.,ASAAS GESTÃO FINANCEIRA INSTITUIÇÃO DE PAGAMENTO S.A.,19540550
462.0,STARK SCD S.A.,STARK SOCIEDADE DE CRÉDITO DIRETO S.A.,39908427
463.0,AZUMI DTVM,AZUMI DISTRIBUIDORA DE TíTULOS E VALORES MOBILIáRIOS LTDA.,40434681
464.0,BCO SUMITOMO MITSUI BRASIL S.A.,Banco Sumitomo Mitsui Brasileiro S.A.,60518222
465.0,CAPITAL CONSIG SCD S.A.,CAPITAL CONSIG SOCIEDADE DE CRÉDITO DIRETO S.A.,40083667
467.0,MASTER S/A CCTVM,"MASTER S/A CORRETORA DE CâMBIO, TíTULOS E VALORES MOBILIáRIOS",33886862
468.0,PORTOSEG S.A. CFI,"PORTOSEG S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",04862600
469.0,LIGA INVEST DTVM LTDA.,LIGA INVEST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,07138049
470.0,CDC SCD S.A.,CDC SOCIEDADE DE CRÉDITO DIRETO S.A.,18394228
471.0,CECM SERV PUBL PINHÃO,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS SERVIDORES PUBLICOS DE PINHÃO - CRES,04831810
473.0,BCO CAIXA GERAL BRASIL S.A.,Banco Caixa Geral - Brasil S.A.,33466988
475.0,BCO YAMAHA MOTOR S.A.,Banco Yamaha Motor do Brasil S.A.,10371492
477.0,CITIBANK N.A.,Citibank N.A.,33042953
478.0,GAZINCRED S.A. SCFI,"GAZINCRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",11760553
479.0,BCO ITAUBANK S.A.,Banco ItauBank S.A.,60394079
481.0,SUPERLÓGICA SCD S.A.,SUPERLÓGICA SOCIEDADE DE CRÉDITO DIRETO S.A.,43599047
482.0,SBCASH SCD,SBCASH SOCIEDADE DE CRÉDITO DIRETO S.A.,42259084
484.0,MAF DTVM SA,MAF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,36864992
487.0,DEUTSCHE BANK S.A.BCO ALEMAO,DEUTSCHE BANK S.A. - BANCO ALEMAO,62331228
488.0,JPMORGAN CHASE BANK,"JPMorgan Chase Bank, National Association",46518205
495.0,BCO LA PROVINCIA B AIRES BCE,Banco de La Provincia de Buenos Aires,44189447
505.0,BCO CREDIT SUISSE S.A.,Banco Credit Suisse (Brasil) S.A.,32062580
506.0,RJI,RJI CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA,42066258
507.0,SCFI EFÍ S.A.,"SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO EFÍ S.A.",37229413
508.0,AVENUE SECURITIES DTVM LTDA.,AVENUE SECURITIES DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,61384004
509.0,CELCOIN IP S.A.,CELCOIN INSTITUICAO DE PAGAMENTO S.A.,13935893
510.0,FFCRED SCD S.A.,FFCRED SOCIEDADE DE CRÉDITO DIRETO S.A..,39738065
511.0,MAGNUM SCD,MAGNUM SOCIEDADE DE CRÉDITO DIRETO S.A.,44683140
512.0,FINVEST DTVM,FINVEST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,36266751
513.0,ATF CREDIT SCD S.A.,ATF CREDIT SOCIEDADE DE CRÉDITO DIRETO S.A.,44728700
516.0,QISTA S.A. CFI,"QISTA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",36583700
518.0,MERCADO CRÉDITO SCFI S.A.,"MERCADO CRÉDITO SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",37679449
519.0,LIONS TRUST DTVM,LIONS TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,40768766
521.0,PEAK SEP S.A.,PEAK SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A.,44019481
522.0,RED SCD S.A.,RED SOCIEDADE DE CRÉDITO DIRETO S.A.,47593544
523.0,HR DIGITAL SCD,HR DIGITAL - SOCIEDADE DE CRÉDITO DIRETO S/A,44292580
524.0,WNT CAPITAL DTVM,WNT CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,45854066
525.0,INTERCAM CC LTDA,INTERCAM CORRETORA DE CÂMBIO LTDA.,34265629
526.0,MONETARIE SCD,MONETARIE SOCIEDADE DE CRÉDITO DIRETO S.A.,46026562
527.0,ATICCA SCD S.A.,ATICCA - SOCIEDADE DE CRÉDITO DIRETO S.A.,44478623
528.0,REAG DTVM S.A.,REAG DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,34829992
529.0,PINBANK IP,PINBANK BRASIL INSTITUIÇÃO DE PAGAMENTO S.A.,17079937
530.0,SER FINANCE SCD S.A.,SER FINANCE SOCIEDADE DE CRÉDITO DIRETO S.A.,47873449
532.0,EAGLE SCD S.A.,EAGLE SOCIEDADE DE CRÉDITO DIRETO S.A.,45745537
534.0,EWALLY IP S.A.,EWALLY INSTITUIÇÃO DE PAGAMENTO S.A.,00714671
535.0,MARU SCD S.A.,MARÚ SOCIEDADE DE CRÉDITO DIRETO S.A.,39519944
536.0,NEON PAGAMENTOS S.A. IP,NEON PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO,20855875
537.0,MICROCASH SCMEPP LTDA.,MICROCASH SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE,45756448
539.0,SANTINVEST S.A. - CFI,"SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS",00122327
541.0,FDO GARANTIDOR CRÉDITOS,FUNDO GARANTIDOR DE CREDITOS - FGC,00954288
545.0,SENSO CCVM S.A.,SENSO CORRETORA DE CAMBIO E VALORES MOBILIARIOS S.A,17352220
546.0,U4C INSTITUIÇÃO DE PAGAMENTO S.A.,U4C INSTITUIÇÃO DE PAGAMENTO S.A.,30980539
600.0,BCO LUSO BRASILEIRO S.A.,Banco Luso Brasileiro S.A.,59118133
604.0,BCO INDUSTRIAL DO BRASIL S.A.,Banco Industrial do Brasil S.A.,31895683
610.0,BCO VR S.A.,Banco VR S.A.,78626983
611.0,BCO PAULISTA S.A.,Banco Paulista S.A.,61820817
612.0,BCO GUANABARA S.A.,Banco Guanabara S.A.,31880826
613.0,OMNI BANCO S.A.,Omni Banco S.A.,60850229
623.0,BANCO PAN,Banco Pan S.A.,59285411
626.0,BCO C6 CONSIG,BANCO C6 CONSIGNADO S.A.,61348538
630.0,BCO LETSBANK S.A.,BANCO LETSBANK S.A.,58497702
633.0,BCO RENDIMENTO S.A.,Banco Rendimento S.A.,68900810
634.0,BCO TRIANGULO S.A.,BANCO TRIANGULO S.A.,17351180
637.0,BCO SOFISA S.A.,BANCO SOFISA S.A.,60889128
643.0,BCO PINE S.A.,Banco Pine S.A.,62144175
653.0,BANCO VOITER,BANCO VOITER S.A.,61024352
654.0,BCO DIGIMAIS S.A.,BANCO DIGIMAIS S.A.,92874270
655.0,BCO VOTORANTIM S.A.,Banco Votorantim S.A.,59588111
707.0,BCO DAYCOVAL S.A,Banco Daycoval S.A.,62232889
712.0,BCO OURINVEST S.A.,Banco Ourinvest S.A.,78632767
720.0,BCO RNX S.A.,BANCO RNX S.A.,80271455
739.0,BCO CETELEM S.A.,Banco Cetelem S.A.,00558456
741.0,BCO RIBEIRAO PRETO S.A.,BANCO RIBEIRAO PRETO S.A.,00517645
743.0,BANCO SEMEAR,Banco Semear S.A.,00795423
745.0,BCO CITIBANK S.A.,Banco Citibank S.A.,33479023
746.0,BCO MODAL S.A.,Banco Modal S.A.,30723886
747.0,BCO RABOBANK INTL BRASIL S.A.,Banco Rabobank International Brasil S.A.,01023570
748.0,BCO COOPERATIVO SICREDI S.A.,BANCO COOPERATIVO SICREDI S.A.,01181521
751.0,SCOTIABANK BRASIL,Scotiabank Brasil S.A. Banco Múltiplo,29030467
752.0,BCO BNP PARIBAS BRASIL S A,Banco BNP Paribas Brasil S.A.,01522368
753.0,NOVO BCO CONTINENTAL S.A. - BM,Novo Banco Continental S.A. - Banco Múltiplo,74828799
754.0,BANCO SISTEMA,Banco Sistema S.A.,76543115
755.0,BOFA MERRILL LYNCH BM S.A.,Bank of America Merrill Lynch Banco Múltiplo S.A.,62073200
756.0,BANCO SICOOB S.A.,BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB,02038232
757.0,BCO KEB HANA DO BRASIL S.A.,BANCO KEB HANA DO BRASIL S.A.,02318507
,Selic,Banco Central do Brasil - Selic,00038121
,Bacen,Banco Central do Brasil,00038166
,STN,Secretaria do Tesouro Nacional - STN,00394460
,CIP SA Siloc,CIP S.A,02992335
,CAMARA INTERBANCARIA DE PAGAMENTOS - CIP,CIP S.A,04391007
,Balcão B3,Sistema do Balcão B3,28719664
,CIP SA C3,CIP S.A,29011780
,Câmara B3,Câmara B3,54641030
,Câmbio B3,Câmara de Câmbio B3,60934221
